trip_id,vessel_id,vessel_type,dwt_tonnes,cargo_capacity_tonnes,engine_power_kw,sfoc_baseline_g_kwh,fuel_type,fuel_energy_density_relative,fuel_cost_per_tonne_usd,emission_factor_wtw_relative,distance_nm,speed_kn,cargo_load_tonnes,cargo_load_ratio,sea_state_douglas,wave_height_m,wind_speed_kn,weather_resistance_factor,voyage_duration_hr,physics_base_fuel_tonnes,engine_efficiency_degradation,auxiliary_power_kw,shore_power_available,fuel_consumed_tonnes,fuel_residual_tonnes,voyage_cost_usd,ghg_emissions_co2e_tonnes
TRIP-0906,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,2026.9,17.74,12034.8,0.6505,2,0.61,11.0,1.0415,114.26,274.125,1.032,844.9,1,306.131,32.006,201101.22,1095.949
TRIP-0907,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,1354.5,12.06,49616.8,0.7088,4,2.48,29.8,1.1197,112.31,90.337,1.04,1128.1,1,128.894,38.557,119787.32,359.614
TRIP-0908,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,2168.3,11.21,35874.5,0.3517,3,1.9,14.6,1.0719,193.43,325.517,1.016,1456.0,0,453.61,128.093,459929.5,567.013
TRIP-0909,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,3215.4,12.37,25293.1,0.3613,1,0.68,10.3,1.0154,259.94,237.489,1.04,1063.3,0,316.285,78.796,219846.7,1132.3
TRIP-0910,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,2628.5,12.36,72476.6,0.7106,2,1.15,11.0,1.0415,212.66,525.405,1.016,1454.2,0,678.29,152.885,673375.5,847.862
TRIP-0911,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,2387.2,13.0,83872.6,0.8223,3,1.61,22.8,1.0842,183.63,542.165,1.016,1412.5,1,719.072,176.907,707618.4,898.84
TRIP-0912,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,633.3,14.25,38459.1,0.5494,5,2.54,22.1,1.1332,44.44,141.694,1.04,1099.2,1,174.309,32.615,210989.9,94.127
TRIP-0913,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,4169.2,12.89,9393.6,0.5078,2,1.29,18.2,1.0523,323.44,576.11,1.032,848.7,1,728.164,152.054,703055.8,910.205
TRIP-0914,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,3543.8,11.87,67314.3,0.6599,2,0.82,15.5,1.0482,298.55,108.272,1.016,1423.3,1,144.31,36.038,428568.0,41.85
TRIP-0915,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,3852.2,13.87,7756.4,0.4193,1,0.56,4.4,1.0066,277.74,301.788,1.032,843.6,0,370.351,68.563,245417.62,1325.857
TRIP-0916,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2662.9,9.43,27070.4,0.846,1,0.59,9.7,1.0146,282.39,77.117,1.064,712.9,1,126.614,49.497,91750.68,453.278
TRIP-0917,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,3371.8,10.95,51408.2,0.504,6,3.48,31.0,1.1715,307.93,546.201,1.016,1412.9,1,812.196,265.995,917915.6,438.586
TRIP-0918,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,618.6,11.06,54592.9,0.7799,1,0.48,11.0,1.0165,55.93,81.191,1.04,1126.5,0,108.033,26.842,126381.35,135.041
TRIP-0919,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,3169.7,11.15,54013.4,0.7716,5,2.93,39.9,1.1599,284.28,458.689,1.04,1148.0,0,694.959,236.27,788204.9,375.278
TRIP-0920,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1101.5,11.25,29824.6,0.932,7,2.6,28.4,1.1926,97.91,40.266,1.064,715.0,0,64.51,24.244,68067.8,179.983
TRIP-0921,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,3127.9,15.95,91991.4,0.5411,2,1.09,17.3,1.0509,196.11,1419.798,1.048,1766.8,1,1715.255,295.457,1921780.5,926.238
TRIP-0922,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,4013.5,13.92,62651.8,0.895,5,2.95,26.7,1.1401,288.33,428.741,1.04,1065.4,0,605.275,176.534,399020.5,2166.885
TRIP-0923,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,4119.8,12.08,25042.6,0.7826,4,2.74,21.7,1.1076,341.04,192.903,1.064,629.5,0,275.695,82.792,188680.9,986.988
TRIP-0924,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,1468.0,12.19,14774.6,0.4617,3,1.65,22.9,1.0844,120.43,129.415,1.064,699.4,1,178.685,49.27,183000.75,223.356
TRIP-0925,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,703.1,11.69,67094.7,0.9585,4,3.34,29.7,1.1196,60.15,46.747,1.04,1068.4,0,67.038,20.291,76039.64,187.036
TRIP-0926,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,870.9,13.81,57697.1,0.8242,4,2.83,30.1,1.1201,63.06,180.104,1.04,1054.2,0,229.929,49.825,242182.55,287.411
TRIP-0927,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,4064.9,15.58,97460.2,0.5733,5,3.39,31.6,1.1474,260.91,816.523,1.048,1767.0,0,1066.87,250.347,700959.4,3819.395
TRIP-0928,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,1627.2,13.57,17389.9,0.94,3,0.94,19.3,1.079,119.91,137.202,1.032,897.7,0,180.83,43.628,127914.6,647.371
TRIP-0929,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,3805.8,18.0,16518.6,0.8929,4,1.45,19.9,1.1048,211.43,1117.922,1.032,834.3,1,1321.603,203.681,1266822.85,1652.004
TRIP-0930,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,3972.8,16.12,85373.1,0.837,1,0.31,9.3,1.0139,246.45,233.582,1.016,1398.9,0,261.041,27.459,759914.8,75.702
TRIP-0931,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,2128.5,11.89,69608.2,0.6824,3,2.11,17.4,1.0761,179.02,65.612,1.016,1395.1,1,87.067,21.455,268287.6,25.249
TRIP-0932,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,2675.9,14.67,51216.1,0.5021,3,1.77,19.7,1.0796,182.41,777.658,1.016,1419.2,1,938.201,160.543,1056521.1,506.629
TRIP-0933,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,1002.8,10.77,85400.2,0.8373,1,0.89,11.7,1.0175,93.11,156.868,1.016,1376.0,1,205.142,48.274,219384.9,256.428
TRIP-0934,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,1809.5,16.65,77751.0,0.7623,3,1.46,24.7,1.0871,108.68,664.591,1.016,1457.0,1,791.01,126.419,775959.5,988.763
TRIP-0935,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,3529.3,10.79,20999.1,0.6562,2,1.63,17.9,1.0518,327.09,255.844,1.064,720.7,0,365.592,109.748,365062.4,456.99
TRIP-0936,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,2263.5,12.23,13777.4,0.7447,5,1.6,32.9,1.1494,185.08,297.186,1.032,910.3,1,413.13,115.944,403773.5,516.413
TRIP-0937,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,1730.8,14.37,162023.0,0.9531,3,0.93,12.1,1.0682,120.45,282.068,1.048,1754.0,0,349.163,67.095,311847.14,974.165
TRIP-0938,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,3875.2,16.15,8304.6,0.4489,5,3.46,33.4,1.1501,239.95,139.098,1.032,834.5,1,176.162,37.064,504553.6,51.087
TRIP-0939,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,1270.0,15.12,68151.8,0.9736,2,1.52,17.5,1.0513,83.99,162.988,1.04,1101.9,1,200.704,37.716,143686.48,718.52
TRIP-0940,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,3803.1,10.18,78314.1,0.7678,5,3.6,29.3,1.144,373.59,568.312,1.016,1421.2,0,852.838,284.526,967121.8,460.533
TRIP-0941,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,3884.6,10.63,61864.6,0.8838,3,2.21,13.7,1.0706,365.44,241.359,1.04,1110.9,0,344.189,102.83,237147.18,1232.197
TRIP-0942,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,3528.1,16.2,17295.8,0.9349,7,2.91,30.3,1.1954,217.78,423.506,1.032,867.7,0,584.823,161.317,378390.26,2093.666
TRIP-0943,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,4120.4,14.1,7158.5,0.3869,3,1.9,21.2,1.0818,292.23,662.033,1.032,883.7,1,841.738,179.705,810951.1,1052.173
TRIP-0944,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,1318.7,14.04,34828.6,0.4976,2,1.05,17.3,1.0509,93.92,282.645,1.04,1132.8,0,350.661,68.016,409477.1,189.357
TRIP-0945,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1122.1,13.82,35474.9,0.5068,6,4.02,46.6,1.1949,81.19,214.895,1.04,1083.8,0,293.923,79.028,302976.85,367.404
TRIP-0946,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,1472.7,10.76,14686.5,0.459,1,0.72,7.9,1.0118,136.87,101.083,1.064,635.4,0,145.326,44.243,155809.7,181.657
TRIP-0947,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,3290.8,13.18,28786.6,0.4112,1,0.45,11.1,1.0167,249.68,607.81,1.04,1121.9,1,784.405,176.595,882095.5,423.579
TRIP-0948,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,2128.5,12.41,7768.4,0.4199,2,1.18,14.9,1.0474,171.51,44.801,1.032,916.7,1,58.677,13.876,175595.6,17.016
TRIP-0949,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,1971.1,12.32,66570.3,0.951,3,2.3,23.0,1.0845,159.99,167.088,1.04,1101.9,1,221.091,54.003,156326.42,791.506
TRIP-0950,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,2493.5,13.46,68182.5,0.6685,2,1.04,12.8,1.0442,185.25,585.048,1.016,1383.1,1,739.18,154.132,726721.0,923.975
TRIP-0951,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,2419.6,15.8,62986.7,0.6175,1,0.7,7.2,1.0108,153.14,839.689,1.016,1414.5,0,951.575,111.886,1075732.5,513.851
TRIP-0952,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,3683.4,11.62,20027.4,0.6259,3,2.14,18.6,1.0779,316.99,153.697,1.064,670.0,0,223.476,69.779,156305.12,800.044
TRIP-0953,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,1732.4,11.0,65043.0,0.9292,2,0.72,8.1,1.0372,157.49,253.225,1.04,1092.3,0,363.392,110.167,423481.2,196.232
TRIP-0954,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,2968.6,15.21,101059.0,0.9908,2,1.46,14.6,1.0469,195.17,1043.05,1.016,1391.2,1,1231.362,188.312,1378998.2,664.935
TRIP-0955,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,1118.6,11.44,87981.0,0.8626,1,0.68,11.8,1.0177,97.78,33.323,1.016,1403.1,1,43.632,10.309,146669.6,12.653
TRIP-0956,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Methanol,0.5,950.0,0.35,3109.9,13.52,46726.5,0.4581,2,0.94,10.6,1.0409,230.02,698.273,1.016,1457.5,1,847.666,149.393,829782.7,1059.582
TRIP-0957,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,2746.7,13.31,80261.2,0.7869,3,1.58,17.4,1.0761,206.36,281.933,1.016,1428.9,1,352.226,70.293,299236.28,982.711
TRIP-0958,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,562.6,13.43,11514.4,0.6224,3,1.39,19.1,1.0787,41.89,14.539,1.032,867.6,1,19.517,4.978,65947.6,5.66
TRIP-0959,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,867.1,9.71,26801.3,0.8375,4,3.44,21.5,1.1073,89.3,53.144,1.064,718.6,1,85.093,31.949,94088.35,106.366
TRIP-0960,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,3016.4,10.5,134808.6,0.793,4,3.46,30.0,1.12,287.28,631.738,1.048,1734.2,1,970.101,338.363,1102111.1,523.855
TRIP-0961,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1921.5,10.71,20587.8,0.6434,3,2.66,13.2,1.0698,179.41,59.48,1.064,718.2,1,94.756,35.276,87159.68,264.369
TRIP-0962,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1886.5,11.37,19718.0,0.6162,5,3.99,22.2,1.1333,165.92,65.381,1.064,636.8,0,95.858,30.477,92519.24,267.444
TRIP-0963,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,2933.0,15.67,7188.5,0.3886,5,3.23,27.1,1.1407,187.17,582.251,1.032,916.1,0,756.613,174.362,734582.35,945.766
TRIP-0964,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,1456.8,10.77,169769.6,0.9986,4,3.38,20.0,1.105,135.26,336.903,1.048,1820.8,0,512.814,175.911,603595.4,276.92
TRIP-0965,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,698.1,12.97,17940.1,0.9697,4,2.48,24.1,1.1111,53.82,108.217,1.032,856.3,1,138.841,30.624,143198.95,173.551
TRIP-0966,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1239.0,14.26,11795.5,0.3686,2,1.1,10.6,1.0409,86.89,63.447,1.064,675.1,1,81.428,17.981,76763.84,227.184
TRIP-0967,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,640.4,13.48,10486.7,0.5668,2,1.7,19.0,1.0535,47.51,98.123,1.032,912.1,1,121.342,23.219,126574.9,151.678
TRIP-0968,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,4107.8,11.51,28454.1,0.8892,5,2.18,20.2,1.1303,356.89,155.656,1.064,675.2,1,219.035,63.379,184097.3,611.108
TRIP-0969,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,2240.3,10.57,27115.2,0.8474,2,1.35,15.2,1.0478,211.95,163.078,1.064,702.9,1,242.802,79.724,243911.9,303.502
TRIP-0970,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,1722.4,14.66,101830.4,0.599,3,1.52,16.7,1.0751,117.49,670.278,1.048,1810.8,0,830.898,160.62,953487.8,448.685
TRIP-0971,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,4190.8,11.77,20867.5,0.6521,3,1.22,19.2,1.0788,356.06,157.012,1.064,707.4,1,226.737,69.725,190104.86,632.596
TRIP-0972,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,982.7,13.91,15238.4,0.4762,6,4.93,44.5,1.1918,70.65,113.222,1.064,714.6,1,165.93,52.708,170883.5,207.413
TRIP-0973,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,3258.4,12.77,26829.9,0.3833,3,2.07,19.0,1.0785,255.16,257.975,1.04,1099.2,0,339.399,81.424,234177.38,1215.048
TRIP-0974,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1496.3,15.84,76419.0,0.4495,3,2.0,14.2,1.0713,94.46,300.869,1.048,1809.4,1,363.685,62.816,260484.7,1301.992
TRIP-0975,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,3555.0,12.02,97888.6,0.9597,4,1.4,23.1,1.1097,295.76,309.844,1.016,1425.9,1,418.508,108.664,350936.24,1167.637
TRIP-0976,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,LNG,1.15,780.0,0.78,3262.9,12.05,58647.2,0.575,4,2.1,21.0,1.1065,270.78,260.67,1.016,1458.9,1,348.038,87.368,295969.64,971.026
TRIP-0977,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,1562.5,15.45,99632.4,0.5861,3,1.72,16.8,1.0752,101.13,309.636,1.048,1799.4,1,390.012,80.376,276807.44,1396.243
TRIP-0978,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,2261.1,12.37,134317.6,0.7901,7,5.16,52.8,1.2292,182.79,656.784,1.048,1813.5,1,997.212,340.428,1131933.2,538.494
TRIP-0979,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,2651.7,11.12,31090.8,0.4442,2,1.11,13.1,1.0446,238.46,140.66,1.04,1052.0,1,195.431,54.771,171686.18,545.252
TRIP-0980,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,2805.6,9.29,20269.7,0.6334,4,2.84,19.5,1.1042,302.0,149.93,1.064,672.2,1,252.997,103.067,253597.15,316.246
TRIP-0981,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,1430.6,14.41,10749.1,0.581,4,3.05,20.2,1.1053,99.28,42.164,1.032,838.9,0,53.775,11.611,166370.0,15.595
TRIP-0982,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1009.6,9.55,35213.9,0.5031,3,1.2,19.4,1.0791,105.72,92.247,1.04,1109.0,0,151.441,59.194,167618.95,189.301
TRIP-0983,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,3234.8,10.22,62411.4,0.3671,2,1.56,12.7,1.044,316.52,230.359,1.048,1775.3,0,363.327,132.968,322895.06,1013.682
TRIP-0984,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,3387.0,9.92,25728.4,0.804,2,0.99,14.1,1.0461,341.43,93.467,1.064,712.1,0,145.672,52.205,131374.16,406.425
TRIP-0985,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,2099.4,15.75,16979.6,0.9178,3,2.28,20.2,1.0803,133.3,79.647,1.032,841.1,1,98.131,18.484,286066.8,28.458
TRIP-0986,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,1723.3,15.18,11619.8,0.6281,1,0.64,7.8,1.0117,113.52,169.774,1.032,844.5,1,199.859,30.085,135212.58,715.495
TRIP-0987,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,2015.0,16.37,17362.1,0.9385,6,4.92,30.8,1.1712,123.09,247.17,1.032,849.9,1,303.111,55.941,199228.82,1085.137
TRIP-0988,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,Ammonia,0.46,1100.0,0.15,887.8,14.5,115842.8,0.6814,5,2.43,39.4,1.1591,61.23,345.053,1.048,1741.8,1,448.988,103.935,528886.8,242.454
TRIP-0989,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,3108.9,10.89,26619.4,0.3803,5,2.8,38.6,1.1579,285.48,357.714,1.04,1109.0,0,568.532,210.818,563855.4,710.665
TRIP-0990,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,2915.4,12.9,11877.4,0.642,5,2.36,23.7,1.1356,226.0,208.082,1.032,871.9,1,285.012,76.93,188007.44,1020.343
TRIP-0991,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,1095.9,13.57,46210.8,0.6602,2,0.87,17.7,1.0515,80.76,105.162,1.04,1098.2,1,138.993,33.831,105425.66,497.595
TRIP-0992,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,1180.3,9.1,18162.2,0.5676,4,1.34,25.6,1.1134,129.7,25.89,1.064,647.1,1,46.431,20.541,49466.18,129.542
TRIP-0993,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,2044.2,10.79,30406.4,0.9502,6,1.89,31.0,1.1715,189.45,79.379,1.064,692.6,1,123.587,44.208,89873.94,442.441
TRIP-0994,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,1285.1,15.61,62034.8,0.6082,5,4.3,30.0,1.145,82.33,434.33,1.016,1370.6,0,559.829,125.499,644811.9,302.308
TRIP-0995,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,3143.1,13.78,10123.0,0.5472,1,0.59,8.6,1.0129,228.09,84.052,1.032,895.7,1,97.073,13.021,283104.4,28.151
TRIP-0996,VESSEL-004,Feeder Container,22000,18500,9800,180.0,HFO,1.0,620.0,1.0,3278.0,14.11,15555.0,0.8408,2,1.29,17.8,1.0517,232.32,292.538,1.032,881.5,1,350.327,57.789,228502.74,1254.171
TRIP-0997,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,3636.4,11.52,17194.7,0.9294,7,4.95,52.4,1.2286,315.66,440.959,1.032,916.7,0,675.879,234.92,657885.05,844.849
TRIP-0998,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Hydrogen,2.98,2800.0,0.08,2589.8,14.77,11839.5,0.64,3,0.99,24.3,1.0865,175.34,81.276,1.032,878.4,1,104.154,22.878,302931.2,30.205
TRIP-0999,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,Methanol,0.5,950.0,0.35,3107.0,9.02,16302.0,0.5094,1,0.85,5.7,1.0086,344.46,151.791,1.064,646.5,1,252.528,100.737,253151.6,315.66
TRIP-1000,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,3207.1,14.25,16344.9,0.5108,3,1.44,18.4,1.0776,225.06,195.59,1.064,633.1,1,254.088,58.498,170784.56,909.635
TRIP-1001,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,1331.2,11.27,8017.5,0.4334,4,3.31,17.2,1.1008,118.12,138.173,1.032,837.2,0,192.648,54.475,198815.6,240.81
TRIP-1002,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,740.5,11.35,9645.7,0.5214,3,2.4,16.6,1.0749,65.24,79.586,1.032,906.8,0,112.454,32.868,122631.3,140.567
TRIP-1003,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Methanol,0.5,950.0,0.35,1004.1,11.4,58613.8,0.8373,5,2.23,27.1,1.1407,88.08,141.947,1.04,1145.0,1,198.031,56.084,207379.45,247.539
TRIP-1004,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,HFO,1.0,620.0,1.0,1491.0,10.07,69856.6,0.998,5,2.0,34.6,1.1519,148.06,85.352,1.04,1102.4,1,137.737,52.385,104646.94,493.098
TRIP-1005,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,3454.6,12.32,14222.6,0.4445,5,2.95,35.7,1.1536,280.41,154.853,1.064,640.5,1,211.124,56.271,144146.88,755.824
TRIP-1006,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,LNG,1.15,780.0,0.78,2928.9,13.14,12845.9,0.4014,1,0.8,5.4,1.0081,222.9,128.436,1.064,677.5,0,162.614,34.178,144588.92,453.693
TRIP-1007,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,Ammonia,0.46,1100.0,0.15,1554.0,11.43,57469.7,0.821,4,1.27,20.8,1.1062,135.96,239.12,1.04,1099.9,0,331.071,91.951,387928.1,178.778
TRIP-1008,VESSEL-001,Handysize Bulk,35000,32000,7200,175.0,HFO,1.0,620.0,1.0,1331.8,9.65,30924.8,0.9664,7,4.18,48.1,1.2221,138.01,41.518,1.064,626.2,1,72.342,30.824,58102.04,258.984
TRIP-1009,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Hydrogen,2.98,2800.0,0.08,2327.2,11.15,65038.4,0.6376,2,1.18,11.5,1.0422,208.72,62.395,1.016,1406.1,0,87.69,25.295,274532.0,25.43
TRIP-1010,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,HFO,1.0,620.0,1.0,2103.0,15.18,115753.7,0.6809,3,2.17,21.4,1.0821,138.54,412.011,1.048,1749.6,1,533.108,121.097,365526.96,1908.527
TRIP-1011,VESSEL-004,Feeder Container,22000,18500,9800,180.0,Methanol,0.5,950.0,0.35,2020.0,15.89,14228.6,0.7691,3,2.6,20.3,1.0805,127.12,450.109,1.032,899.8,1,551.527,101.418,535250.65,689.409
TRIP-1012,VESSEL-003,Capesize Bulk,180000,170000,21000,162.0,LNG,1.15,780.0,0.78,1442.1,12.14,87804.7,0.5165,5,3.41,23.1,1.1347,118.79,150.725,1.048,1802.2,1,205.491,54.766,195282.98,573.32
TRIP-1013,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,895.0,10.31,43063.6,0.6152,4,2.77,24.6,1.1119,86.81,42.631,1.04,1084.3,0,67.554,24.923,76442.12,188.476
TRIP-1014,VESSEL-005,Neo-Panamax Green,110000,102000,16500,158.0,Ammonia,0.46,1100.0,0.15,2244.1,13.33,92360.5,0.9055,5,2.37,22.6,1.1339,168.35,593.908,1.016,1455.5,1,792.658,198.75,896423.8,428.035
TRIP-1015,VESSEL-002,Panamax Bulk,75000,70000,12500,168.0,LNG,1.15,780.0,0.78,2353.6,15.13,26940.1,0.3849,3,2.03,23.1,1.0847,155.56,227.557,1.04,1078.1,0,297.721,70.164,255972.38,830.642
